id,rating
131072,5.0
1,7.8
2,6.5
3,6.4
4,5.8
5,6.2
6,7.7
7,6.7
8,6.3
9,6.0
10,6.9
11,7.3
12,5.3
13,6.7
14,6.9
15,5.5
16,7.6
17,7.9
18,6.8
19,5.3
20,5.8
21,7.1
22,6.6
23,6.3
24,6.4
25,7.3
26,7.2
27,6.8
28,8.1
29,7.8
30,7.3
31,6.5
32,7.8
33,6.1
34,7.2
35,7.0
36,7.9
37,5.9
38,5.8
39,6.8
40,7.3
41,7.7
42,6.1
43,6.9
44,5.3
45,6.7
46,6.5
47,8.1
48,5.9
49,7.1
50,8.6
51,5.2
52,7.1
53,7.4
54,5.7
55,6.5
56,4.1
57,6.6
58,7.9
59,7.2
60,6.1
61,6.7
62,7.5
63,6.2
64,5.7
65,4.8
66,4.3
67,6.7
68,6.9
69,7.1
70,6.6
71,4.7
72,7.0
73,7.6
74,6.6
75,4.9
76,6.0
77,6.9
78,6.3
79,6.3
80,7.4
81,6.5
82,8.0
83,7.3
84,6.8
85,7.1
86,7.0
87,4.8
88,6.3
89,6.3
90,6.7
131160,7.0
92,5.7
93,5.0
94,7.1
95,6.2
131168,7.3
97,8.0
131170,6.3
99,6.2
100,6.5
101,7.6
102,4.9
103,6.5
104,6.8
105,6.7
106,6.8
107,6.4
108,6.1
131180,4.7
110,8.0
111,8.2
112,6.8
113,6.2
114,7.2
115,6.8
116,7.8
117,7.2
118,6.0
119,5.6
120,5.8
121,7.5
122,5.7
123,8.0
124,7.0
125,7.5
126,4.7
127,6.4
128,7.0
129,6.3
130,6.2
131,6.6
132,5.5
133,5.0
134,7.3
135,6.0
136,7.1
137,6.6
138,6.6
139,6.2
140,6.6
141,7.0
142,6.1
143,4.4
144,6.9
145,6.5
146,5.8
147,7.2
148,5.8
149,7.4
150,7.8
151,7.1
152,6.2
153,5.8
154,7.6
155,6.8
156,7.1
157,5.6
158,5.8
159,6.8
160,5.2
161,7.5
162,8.0
163,6.9
164,6.9
165,7.0
131237,7.7
166,5.7
168,6.1
169,4.6
170,6.4
171,7.2
172,5.5
173,5.1
174,4.9
175,7.1
176,7.7
177,5.8
178,6.8
179,5.5
180,7.1
181,4.0
182,6.2
183,6.7
184,6.2
185,6.2
186,5.7
187,6.9
188,6.7
189,6.0
190,7.2
191,5.4
192,6.0
193,4.5
194,7.7
195,6.2
196,5.7
197,6.2
198,6.8
199,7.5
200,5.7
201,6.1
202,6.0
203,6.3
204,5.9
205,7.0
206,7.0
207,6.7
208,5.7
209,5.6
210,5.8
211,7.2
212,5.1
213,8.1
214,8.1
215,7.8
216,6.5
217,5.5
218,6.6
219,7.2
220,4.8
131292,2.8
222,7.1
223,7.7
224,6.9
225,6.6
226,5.4
227,6.1
228,5.4
229,7.1
230,7.2
231,5.9
232,8.0
233,7.1
234,5.4
235,7.3
236,6.6
237,6.4
238,6.3
239,6.2
240,5.8
241,6.0
242,6.8
243,5.0
244,4.7
245,5.9
246,8.0
247,7.6
248,6.0
249,7.3
250,6.1
251,6.1
252,6.4
253,7.0
254,5.8
255,4.6
256,5.4
257,6.8
258,5.3
259,6.1
260,8.3
261,7.2
262,7.5
263,7.5
264,6.7
265,7.8
266,7.0
267,5.8
268,6.6
269,7.0
270,6.4
271,6.7
272,7.5
273,6.2
274,5.7
275,5.5
276,6.0
277,6.8
278,6.0
279,7.4
280,7.4
281,7.3
282,6.8
283,6.2
284,5.6
285,4.7
286,4.0
287,6.5
288,6.5
289,6.7
290,8.0
291,4.6
292,6.8
293,8.2
294,6.3
295,5.6
296,8.3
297,6.2
298,7.0
299,7.4
300,7.3
301,7.0
302,7.5
303,6.1
304,6.4
305,5.4
306,8.1
307,7.9
308,7.8
309,7.3
310,5.5
